TIME SIGNATURE,COUNT,,TIME SIGNATURE,COUNT
"""4/4""",313629,,"""4/4""",313629
"""3/4""",50364,,"""3/4""",50364
"""2/4""",46762,,"""2/4""",46762
"""6/8""",16695,,"""6/8""",16695
"""2/2""",14365,,"""2/2""",14365
"""1/4""",13989,,"""1/4""",13989
"""6/4""",10723,,"""6/4""",10723
"""3/8""",8088,,"""3/8""",8088
"""5/4""",8082,,"""5/4""",8082
"""4/2""",8003,,"""4/2""",8003
"""1/8""",5848,,"""1/8""",5848
"""3/2""",5810,,"""3/2""",5810
"""9/8""",4784,,"""9/8""",4784
"""5/8""",4094,,"""5/8""",4094
"""7/8""",4085,,"""7/8""",4085
"""12/8""",3968,,"""12/8""",3968
"""8/4""",2649,,"""8/4""",2649
"""7/4""",2252,,"""7/4""",2252
"""4/8""",1207,,"""4/8""",1207
"""3/1""",1185,,"""3/1""",1185
"""1/2""",1089,,"""1/2""",1089
"""8/8""",901,,"""8/8""",901
"""11/8""",872,,"""11/8""",872
"""2/8""",813,,"""2/8""",813
"""6/2""",798,,"""6/2""",798
"""9/4""",785,,"""9/4""",785
"""2/1""",700,,"""2/1""",700
"""9/16""",668,,"""9/16""",668
"""12/4""",611,,"""12/4""",611
"""10/4""",578,,"""10/4""",578
"""13/16""",543,,"""13/16""",543
"""15/16""",522,,"""15/16""",522
"""17/16""",457,,"""17/16""",457
"""1/16""",421,,"""1/16""",421
"""10/8""",388,,"""10/8""",388
"""16/4""",382,,"""16/4""",382
"""15/8""",348,,"""15/8""",348
"""13/8""",337,,"""13/8""",337
"""7/16""",334,,"""7/16""",334
"""11/16""",316,,"""11/16""",316
"""12/16""",245,,"""12/16""",245
"""1/1""",240,,"""1/1""",240
"""11/4""",236,,"""11/4""",236
"""8/2""",231,,"""8/2""",231
"""16/16""",231,,"""16/16""",231
"""5/2""",218,,"""5/2""",218
"""5/16""",215,,"""5/16""",215
"""3/16""",202,,"""3/16""",202
"""19/16""",194,,"""19/16""",194
"""14/4""",191,,"""14/4""",191
"""31/1""",186,,"""31/1""",186
"""10/2""",165,,"""10/2""",165
"""0/1""",158,,"""0/1""",158
"""6/16""",149,,"""6/16""",149
"""17/8""",149,,"""17/8""",149
"""13/4""",147,,"""13/4""",147
"""4/1""",141,,"""4/1""",141
"""15/4""",136,,"""15/4""",136
"""6/1""",135,,"""6/1""",135
"""8/16""",127,,"""8/16""",127
"""21/16""",125,,"""21/16""",125
"""1/32""",120,,"""1/32""",120
